num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,sexo_pil,edad_fall,g_edad,edad_m1,tipo_vehi,color_vehi,modelo_vehi,causa_acc
43,18,Enero,Domingo,7,Santa Rosa,Rural,Mujer,18,25-29,Mayor,Pick up,Azul,1966,Colisión
382,30,Mayo,Sábado,7,Alta Verapaz,Rural,Mujer,30,35-39,Mayor,Pick up,Blanco,1982,Empotro
839,16,Diciembre,Miércoles,7,Suchitepéquez,Rural,Hombre,34,35-39,Mayor,Pick up,Ignorado,1984,Colisión
457,30,Junio,Martes,7,Guatemala,Urbano,Mujer,56,50-54,Mayor,Automovil,Blanco,1992,Colisión
113,18,Febrero,Miércoles,7,Quetzaltenango,Rural,Mujer,19,25-29,Mayor,Pick up,Verde,1992,Volco
114,18,Febrero,Miércoles,7,Quetzaltenango,Rural,Hombre,9,15-19,Menor,Pick up,Verde,1992,Volco
476,11,Julio,Sábado,7,Jutiapa,Rural,Hombre,18,25-29,Mayor,Camión,Blanco,1999,Colisión
477,11,Julio,Sábado,7,Jutiapa,Rural,Hombre,70,55 y más,Mayor,Camión,Blanco,1999,Colisión
478,11,Julio,Sábado,7,Jutiapa,Rural,Hombre,25,35-39,Mayor,Camión,Blanco,1999,Colisión
479,11,Julio,Sábado,7,Jutiapa,Rural,Hombre,38,40-44,Mayor,Camión,Blanco,1999,Colisión
480,11,Julio,Sábado,7,Jutiapa,Rural,Hombre,22,30-34,Mayor,Camión,Blanco,1999,Colisión
481,11,Julio,Sábado,7,Jutiapa,Rural,Hombre,50,45-49,Mayor,Camión,Blanco,1999,Colisión
737,10,Octubre,Sábado,7,El Progreso,Rural,Hombre,43,40-44,Mayor,Camión,Blanco,2002,Colisión
195,14,Marzo,Sábado,7,Izabal,Rural,Hombre,34,35-39,Mayor,Pick up,Blanco,IGNORADO,Colisión
196,14,Marzo,Sábado,7,Izabal,Rural,Hombre,22,30-34,Mayor,Pick up,Blanco,IGNORADO,Colisión
663,28,Agosto,Viernes,7,Santa Rosa,Rural,Hombre,65,55 y más,Mayor,Motocicleta,Azul,IGNORADO,Colisión
350,15,Mayo,Viernes,7,Quetzaltenango,Rural,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,Gris,IGNORADO,Colisión
764,28,Octubre,Miércoles,7,Guatemala,Urbano,Mujer,23,30-34,Mayor,Automovil,Negro,IGNORADO,Empotro
57,26,Enero,Lunes,7,Totonicapán,Rural,Hombre,20,30-34,Mayor,Pick up,Verde,IGNORADO,Colisión
249,7,Abril,Martes,7,Izabal,Rural,Mujer,71,55 y más,Mayor,Automovil,Verde,IGNORADO,Colisión
253,9,Abril,Jueves,7,San Marcos,Rural,Hombre,38,40-44,Mayor,Camioneta,Verde,IGNORADO,Embarranco
254,9,Abril,Jueves,7,San Marcos,Rural,Hombre,56,50-54,Mayor,Camioneta,Verde,IGNORADO,Embarranco
38,17,Enero,Sábado,7,Guatemala,Urbano,Hombre,25,35-39,Mayor,Motocicleta,Amarillo,IGNORADO,Colisión
28,13,Enero,Martes,7,Petén,Rural,Hombre,61,50-54,Mayor,Motocicleta,Ignorado,IGNORADO,Colisión
526,2,Agosto,Domingo,7,Zacapa,Rural,Hombre,30,35-39,Mayor,Motocicleta,Ignorado,IGNORADO,Empotro
579,2,Agosto,Domingo,7,Zacapa,Rural,Hombre,30,35-39,Mayor,Motocicleta,Ignorado,IGNORADO,Empotro
603,2,Agosto,Domingo,7,Zacapa,Rural,Hombre,30,35-39,Mayor,Motocicleta,Ignorado,IGNORADO,Empotro
840,16,Diciembre,Miércoles,7,Baja Verapaz,Rural,Hombre,21,30-34,Mayor,Pick up,Ignorado,IGNORADO,Embarranco
567,18,Agosto,Martes,8,Sololá,Rural,Hombre,55,50-54,Mayor,Pick up,Amarillo,1982,Colisión
644,18,Agosto,Martes,8,Sololá,Rural,Hombre,55,50-54,Mayor,Pick up,Amarillo,1982,Colisión
517,31,Julio,Viernes,8,Chimaltenango,Rural,Hombre,43,40-44,Mayor,Camión,Corinto,1983,Embarranco
5,1,Enero,Jueves,8,Escuintla,Rural,Hombre,12,20-24,Menor,Automovil,Anaranjado,1983,Volco
6,1,Enero,Jueves,8,Escuintla,Rural,Mujer,25,35-39,Mayor,Automovil,Anaranjado,1983,Volco
731,9,Octubre,Viernes,8,Guatemala,Urbano,Hombre,47,45-49,Mayor,Automovil,Corinto,1990,Colisión
295,20,Abril,Lunes,8,Escuintla,Rural,Mujer,9,15-19,Menor,Camioneta,Corinto,1994,Volco
